timestamp,request_count,user_id,user_count,response_time,response_code,endpoint,cpu_usage,memory_usage,rps,feature_usage,session_duration,current_usage,quota_limit,ip_address,revenue,customers
2025-11-17 04:39:55.986525,114,user_114,17,113,200,/api/v2/inventory,29.54,528.56,0.38,checkout,50.79,114,2000,192.168.1.16,5.02,16
2025-11-17 04:44:55.986525,111,user_100,19,110,503,/api/v2/orders,29.64,536.74,0.37,profile_update,44.87,111,10000,192.168.1.22,0.0,18
2025-11-17 04:49:55.986525,117,user_101,19,108,200,/api/v2/inventory,26.67,540.7,0.39,search,36.7,117,10000,192.168.1.11,2.51,18
2025-11-17 04:54:55.986525,118,user_101,21,104,200,/api/v2/orders,27.09,527.84,0.39,upload,16.6,235,10000,192.168.1.5,5.59,20
2025-11-17 04:59:55.986525,125,user_114,17,133,200,/api/auth/token,29.64,525.21,0.42,login,47.96,239,2000,192.168.1.22,4.2,16
2025-11-17 05:04:55.986525,126,user_100,21,112,200,/api/v2/orders,26.49,538.65,0.42,search,46.86,237,10000,192.168.1.13,5.38,20
2025-11-17 05:09:55.986525,126,user_101,13,108,200,/api/auth/token,27.08,531.25,0.42,filter,7.5,361,10000,192.168.1.10,4.4,12
2025-11-17 05:14:55.986525,126,user_101,15,117,200,/api/auth/token,29.34,528.57,0.42,login,23.56,487,10000,192.168.1.13,2.89,14
2025-11-17 05:19:55.986525,138,user_119,17,131,200,/api/v2/inventory,28.55,530.65,0.46,checkout,49.22,138,2000,192.168.1.17,5.18,16
2025-11-17 05:24:55.986525,146,user_106,23,136,200,/api/v1/products,28.95,534.5,0.49,filter,28.14,146,2000,192.168.1.10,4.25,22
2025-11-17 05:29:55.986525,140,user_118,27,132,200,/api/v2/orders,31.08,526.48,0.47,checkout,24.81,140,2000,192.168.1.12,4.09,26
2025-11-17 05:34:55.986525,148,user_101,15,135,200,/api/auth/token,30.74,531.82,0.49,login,34.29,635,10000,192.168.1.7,3.77,14
2025-11-17 05:39:55.986525,155,user_108,22,129,200,/api/v1/products,30.58,531.33,0.52,search,45.59,155,2000,192.168.1.5,7.31,21
2025-11-17 05:44:55.986525,150,user_101,22,124,200,/api/v2/orders,27.51,537.87,0.5,filter,7.28,785,10000,192.168.1.3,2.75,21
2025-11-17 05:49:55.986525,153,user_113,25,136,200,/api/auth/token,29.57,531.75,0.51,upload,58.97,153,2000,192.168.1.17,5.75,24
2025-11-17 05:54:55.986525,165,user_100,23,116,200,/api/v2/orders,29.42,547.96,0.55,profile_update,12.33,402,10000,192.168.1.17,3.32,22
2025-11-17 05:59:55.986525,165,user_102,20,119,200,/api/v2/orders,33.2,546.05,0.55,profile_update,35.74,165,10000,192.168.1.10,4.61,19
2025-11-17 06:04:55.986525,162,user_114,30,124,200,/api/auth/token,31.87,541.92,0.54,upload,59.06,401,2000,192.168.1.3,2.59,29
2025-11-17 06:09:55.986525,172,user_103,29,144,200,/api/auth/token,32.79,539.77,0.57,upload,59.98,172,2000,192.168.1.17,7.53,28
2025-11-17 06:14:55.986525,174,user_116,21,130,200,/api/auth/token,31.13,544.25,0.58,upload,54.19,174,2000,192.168.1.24,4.94,20
2025-11-17 06:19:55.986525,180,user_100,24,127,200,/api/v2/inventory,32.27,541.83,0.6,upload,21.99,582,10000,192.168.1.8,4.31,23
